"","SSA","Eurasian"
"Somali",58.1900719366593,41.8099280633407
"Oromo",56.8211468461232,43.1788531538768
"Afar",51.3792219229219,48.6207780770781
"Saho",50.0834908653468,49.9165091346532
"Agaw",51.88620571804,48.11379428196
"Beta-Israel",52.4612932257221,47.5387067742779
"Amhara",51.8308197134166,48.1691802865834
"Tigray-Tigrinya",50.7297365866127,49.2702634133873
"Biher-Tigrinya",49.687910546396,50.312089453604
"Iberomaurusian",47.3805888389688,52.6194111610312
